epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,128.875,0.97645,4.55866,0.00807,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.000490762,0.000490762,0.000490762
61,131.127,1.04136,4.2687,0.00668,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.0004872,0.0004872,0.0004872
62,133.794,1.06509,4.39437,0.00861,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.000483242,0.000483242,0.000483242
63,136.504,1.23377,4.47857,0.00872,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000478888,0.000478888,0.000478888
64,139.102,0.90463,7.0892,0.0081,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000474138,0.000474138,0.000474138
65,141.198,0.853,4.70184,0.00765,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000468992,0.000468992,0.000468992
66,143.103,1.01875,5.16435,0.01084,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.00046345,0.00046345,0.00046345
67,145.147,1.16039,4.84264,0.00923,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.000457512,0.000457512,0.000457512
68,147.152,1.33609,3.8855,0.01026,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.000451178,0.000451178,0.000451178
69,149.199,1.15315,6.13114,0.01075,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.000444448,0.000444448,0.000444448
70,151.094,0.9977,3.61872,0.00641,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.000437322,0.000437322,0.000437322
71,152.993,0.87059,4.01833,0.00821,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.0004298,0.0004298,0.0004298
72,155.15,0.88935,4.21706,0.0074,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000421882,0.000421882,0.000421882
73,157.128,0.96978,4.13301,0.00744,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000413568,0.000413568,0.000413568
74,159.191,1.04737,3.78159,0.00782,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000404858,0.000404858,0.000404858
75,161.16,1.06997,4.81579,0.00875,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.000395752,0.000395752,0.000395752
76,163.084,1.21995,4.5302,0.00911,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.00038625,0.00038625,0.00038625
77,165.186,1.16259,4.97684,0.0111,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.000376352,0.000376352,0.000376352
78,167.709,1.04054,4.91713,0.00897,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000366058,0.000366058,0.000366058
79,170.125,0.86052,3.59197,0.00645,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000355368,0.000355368,0.000355368
80,172.45,1.00625,3.60681,0.00867,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000344282,0.000344282,0.000344282
81,175.006,1.04475,4.48555,0.00753,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.0003328,0.0003328,0.0003328
82,177.036,0.88181,3.90573,0.00636,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.000320922,0.000320922,0.000320922
83,179.148,1.17647,5.26451,0.01157,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.000308648,0.000308648,0.000308648
84,181.894,0.93824,3.12126,0.00631,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000295978,0.000295978,0.000295978
85,184.258,0.8265,3.90089,0.00661,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000282912,0.000282912,0.000282912
86,186.695,1.09104,5.114,0.01032,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.00026945,0.00026945,0.00026945
87,189.092,1.04612,4.19552,0.00903,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000255592,0.000255592,0.000255592
88,191.585,0.79989,5.30784,0.01011,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000241338,0.000241338,0.000241338
89,193.985,1.03317,4.70882,0.008,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000226688,0.000226688,0.000226688
90,196.32,1.14867,4.20809,0.00853,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000211642,0.000211642,0.000211642
91,198.748,0.9514,7.1858,0.01031,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.0001962,0.0001962,0.0001962
92,201.262,0.81766,6.99106,0.00807,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000180362,0.000180362,0.000180362
93,203.678,1.07029,7.23094,0.01049,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000164128,0.000164128,0.000164128
94,206.103,0.83458,7.02145,0.0082,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000147498,0.000147498,0.000147498
95,209.217,1.00483,6.98238,0.01037,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000130472,0.000130472,0.000130472
96,214.994,0.88983,7.18112,0.00843,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,0.00011305,0.00011305,0.00011305
97,220.535,0.87492,6.98698,0.00823,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,9.5232e-05,9.5232e-05,9.5232e-05
98,225.998,0.84057,6.88837,0.00903,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,7.7018e-05,7.7018e-05,7.7018e-05
99,231.346,0.71373,6.98606,0.00742,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,5.8408e-05,5.8408e-05,5.8408e-05
100,233.315,0.95141,7.21492,0.00872,0.53234,0.77447,0.753,0.52711,1.26151,6.52052,0.01319,3.9402e-05,3.9402e-05,3.9402e-05
